nom,module,categorie,defaut,source,juin,doute,min,max,pas,unite,surface,regle-proposee,note-agent,verdict,commentaire
ReadinessTimeout,Deckle.Anytype,tuning-constant,TimeSpan.FromSeconds(20),src/Deckle.Anytype/Backend/BackendSupervisor.cs:45,non,,,,,s,aucune,1-robustesse,"Startup readiness timeout, internal robustness.",,
StableUptime,Deckle.Anytype,tuning-constant,TimeSpan.FromMinutes(5),src/Deckle.Anytype/Backend/BackendSupervisor.cs:53,non,Reset threshold of the restart ladder; its sibling RestartBackoff array (line 51) was missed by the sweep and belongs with it.,,,,min,aucune,1-robustesse,"Restart-ladder reset threshold, part of the recovery machinery.",,
DefaultPort,Deckle.Anytype.Mcp,tuning-constant,33255,src/Deckle.Anytype.Mcp/Http/McpHttpHost.cs:34,non,,,,,,aucune,3-personnalisation,Local MCP endpoint port a user pastes into client config; local endpoints are personalization.,,
EndpointPath,Deckle.Anytype.Mcp,tuning-constant,"""/mcp""",src/Deckle.Anytype.Mcp/Http/McpHttpHost.cs:36,non,"Protocol path, but it is half of the BaseUrl a user pastes into an MCP client config; kept as the port's companion, drop if the port alone suffices.",,,,,aucune,3-personnalisation,Companion half of the BaseUrl the user configures; follows the port's classification.,,
SessionIdleLimit,Deckle.Anytype.Mcp,tuning-constant,TimeSpan.FromHours(24),src/Deckle.Anytype.Mcp/Http/McpHttpHost.cs:51,non,,,,,h,aucune,1-robustesse,"Session idle timeout, an internal resource-recovery bound.",,
EntryDrainBatchSize,Deckle.App,tuning-constant,256,src/Deckle.App/LogWindow.Model.cs:15,non,UI drain batching for the log window. Perceivable only as responsiveness under load; likely frozen-in-code rather than a setting.,,,,count,aucune,1-robustesse,"UI drain batch size, an internal buffer/cadence bound.",,
MaxEntries,Deckle.App,tuning-constant,5000,src/Deckle.App/LogWindow.Model.cs:96,non,"Sweep reports declaration 'field'; it is actually a method-local const inside the enqueue loop, so exposing it means hoisting it first. Value verified. User-perceivable: it caps log window scrollback.",,,,count,aucune,4-diagnostics,"Log window scrollback retention cap, an observability retention parameter.",,
SearchCollapseThreshold,Deckle.App,tuning-constant,520.0,src/Deckle.App/LogWindow.xaml.cs:72,non,"Responsive breakpoint (DIPs) at which the log window SearchBox collapses to an icon. Comment pins it to the Windows 11 Task Manager pattern — a design constant, probably not exposable.",,,,px,aucune,2-qualite,Design breakpoint pinned to the Task Manager pattern; UI craft tuning frozen in code.,,
SentenceJudgeMargin,Deckle.App,tuning-constant,1.0,src/Deckle.App/App.Autocorrect.cs:37,non,Strongest keeper of the batch. Comment documents a maintainer-decided precision/coverage tradeoff (92.2%/20.8% at 1.0 vs 90.8%/41.0% at 0.5) and says it is to be relaxed as the corpus grows. Per-export: must be recalibrated if the DML int4 export changes — so exposing it needs a per-export guard.,,,,,aucune,2-qualite,"Model-inference precision/coverage calibration, per-export recalibrated; quality tuning, not a user choice.",,
AudioFileDecoder.TargetBitsPerSample,Deckle.Audio,tuning-constant,32,src/Deckle.Audio/AudioFileDecoder.cs:31,non,Same frozen format contract.,,,,bits,aucune,1-robustesse,"Frozen pipeline format contract locked to the capture chain, an internal structural bound, not a knob.",,
AudioFileDecoder.TargetChannels,Deckle.Audio,tuning-constant,1,src/Deckle.Audio/AudioFileDecoder.cs:30,non,Same frozen format contract.,,,,count,aucune,1-robustesse,"Same frozen format contract as the sample rate; structural, frozen by default.",,
AudioFileDecoder.TargetSampleRate,Deckle.Audio,tuning-constant,16000,src/Deckle.Audio/AudioFileDecoder.cs:29,non,"Fixed pipeline format, locked to MicrophoneCapture; frozen contract, not a knob. Keep only as inventory trace.",,,,Hz,aucune,1-robustesse,16 kHz fixed pipeline format locked to MicrophoneCapture; a frozen internal contract.,,
AudioLevelMapper.DbfsCurveExponent,Deckle.Audio,tuning-constant,1.0f,src/Deckle.Audio/AudioLevelMapper.cs:74,oui,Runtime mirror of LevelWindowSettings.DbfsCurveExponent. Note the file comment still documents an older -40/-22/exp2.0 calibration - comment is stale vs the code.,,,,,aucune,2-qualite,"Runtime mirror of the persisted curve exponent; a dBFS curve shape is quality calibration, not explainable to a user.",,
AudioLevelMapper.EmaAlpha,Deckle.Audio,tuning-constant,0.25f,src/Deckle.Audio/AudioLevelMapper.cs:34,non,"Genuine unexposed tuning: HUD stroke smoothing tau ~0.15s. Public static mutable field, nothing writes it today.",,,,ratio,aucune,2-qualite,"HUD stroke smoothing constant, pure visual/DSP smoothing tuning.",,
AudioLevelMapper.MaxDbfs,Deckle.Audio,tuning-constant,-32f,src/Deckle.Audio/AudioLevelMapper.cs:73,oui,Runtime mirror of LevelWindowSettings.MaxDbfs.,,,,dBFS,aucune,2-qualite,"Runtime mirror of the level-window ceiling; dBFS calibration of the meter, quality tuning.",,
AudioLevelMapper.MinDbfs,Deckle.Audio,tuning-constant,-55f,src/Deckle.Audio/AudioLevelMapper.cs:72,oui,"Runtime mirror of LevelWindowSettings.MinDbfs (pushed at startup and on change). Same knob, second declaration site - dedupe against CaptureSettings.cs:58.",,,,dBFS,aucune,2-qualite,"Runtime mirror of the level-window floor; same dBFS calibration knob, second declaration site.",,
CaptureSettings.AudioInputDeviceId,Deckle.Audio,persisted-setting,-1,src/Deckle.Audio/CaptureSettings.cs:15,oui,June marks it bespoke (runtime waveIn enumeration). -1 = WAVE_MAPPER.,,,,,settings,3-personnalisation,"Microphone device selection is hardware choice, the canonical personalization case.",,
CaptureSettings.LevelWindow,Deckle.Audio,persisted-setting,new LevelWindowSettings(),src/Deckle.Audio/CaptureSettings.cs:25,oui,"Container property, not a knob - its five members are the exposables.",,,,,aucune,2-qualite,Container whose members are the dBFS calibration knobs; follows their quality classification.,,
CaptureSettings.MaxRecordingDurationSeconds,Deckle.Audio,persisted-setting,20 * 60 (1200 s),src/Deckle.Audio/CaptureSettings.cs:23,non,"Persisted, no UI found in the sweep scope. Sweep value string was the unevaluated expression; real default 1200. 0 = no cap.",,,,s,aucune,3-personnalisation,A recording-length cap varies by usage and is explainable in one sentence (longer cap = longer takes).,,
CaptureSettings.Preprocessing,Deckle.Audio,persisted-setting,new PreprocessingSettings(),src/Deckle.Audio/CaptureSettings.cs:34,oui,"Container property; the opt-in toggle is Preprocessing.Enabled, fine params live in the Playground.",,,,,aucune,3-personnalisation,Container whose exposable is the Enabled toggle in Settings > Recording; follows that toggle.,,
LevelWindowSettings.AutoCalibrationEnabled,Deckle.Audio,persisted-setting,false,src/Deckle.Audio/CaptureSettings.cs:61,oui,,,,,,settings,3-personnalisation,"An auto-adjust-to-your-mic toggle is explainable in one sentence, so personalization wins over the calibration reading.",,
LevelWindowSettings.AutoCalibrationSamples,Deckle.Audio,persisted-setting,5,src/Deckle.Audio/CaptureSettings.cs:62,oui,June lists the LevelWindow block but not this member explicitly; rolling-window size for the auto-calibration heuristic.,,,,count,aucune,2-qualite,"Rolling-window size of the auto-calibration heuristic, internal quality tuning of that feature.",,
LevelWindowSettings.DbfsCurveExponent,Deckle.Audio,persisted-setting,1.0f,src/Deckle.Audio/CaptureSettings.cs:60,oui,,0.3,3.0,0.05,,settings,2-qualite,"The maintainer's own tie-break example of a non-explainable knob; frozen in Settings, alive in Playground.",,
LevelWindowSettings.MaxDbfs,Deckle.Audio,persisted-setting,-32f,src/Deckle.Audio/CaptureSettings.cs:59,oui,,-60,-10,1,dBFS,settings,2-qualite,Meter ceiling calibration in dBFS; a DSP threshold no user can reason about in one sentence.,,
LevelWindowSettings.MinDbfs,Deckle.Audio,persisted-setting,-55f,src/Deckle.Audio/CaptureSettings.cs:58,oui,,-90,-10,1,dBFS,settings,2-qualite,Meter floor calibration in dBFS; same quality-calibration family as MaxDbfs.,,
MicLevelCheck.MarginalDeltaDb,Deckle.Audio,tuning-constant,2.0,src/Deckle.Audio/Preprocessing/MicLevelCheck.cs:30,non,Same provisional advice thresholds.,,,,dB,aucune,2-qualite,Provisional dB threshold shaping the mic-level advice; heuristic quality tuning.,,
MicLevelCheck.RecommendDeltaDb,Deckle.Audio,tuning-constant,6.0,src/Deckle.Audio/Preprocessing/MicLevelCheck.cs:26,non,Self-declared provisional engineer guess; decides the 'enable the lift' recommendation shown to the user.,,,,dB,aucune,2-qualite,"Engineer-guessed dB threshold deciding when the lift is recommended; quality heuristic, not a user knob.",,
MicLevelTester.DefaultMeasureSeconds,Deckle.Audio,tuning-constant,5,src/Deckle.Audio/MicLevelTester.cs:23,non,Duration of the Settings mic check - directly user-perceivable.,,,,s,aucune,2-qualite,Measurement duration tuning of the Settings mic check; no reason it varies per person.,,
MicrophoneCapture.N_BUFFERS,Deckle.Audio,tuning-constant,4,src/Deckle.Audio/MicrophoneCapture.cs:40,non,"waveIn buffer count - implementation detail, but it sets capture latency/robustness. Kept under doubt.",,,,count,aucune,1-robustesse,"waveIn buffer count is an internal latency/robustness buffer size, frozen by default.",,
MicrophoneTelemetryCalculator.SubWindowSamples,Deckle.Audio,tuning-constant,800,src/Deckle.Audio/Telemetry/MicrophoneTelemetryCalculator.cs:135,non,"800 samples = 50 ms @16 kHz; must stay in lock-step with WaveInLoop.SubWindowMs. Structural, not tunable.",,,,count,aucune,1-robustesse,"Structural cadence locked to WaveInLoop.SubWindowMs; an internal coupling, not tunable.",,
PreprocessingSettings.CompAttackMs,Deckle.Audio,persisted-setting,8f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:54,oui,,,,,ms,aucune,2-qualite,Compressor DSP time constant; Playground-only fine tuning per the CaptureSettings comment.,,
PreprocessingSettings.CompKneeDb,Deckle.Audio,persisted-setting,6f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:53,oui,,,,,dB,aucune,2-qualite,"Compressor knee width, pure DSP quality tuning kept in Playground.",,
PreprocessingSettings.CompRatio,Deckle.Audio,persisted-setting,2f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:52,oui,,,,,ratio,aucune,2-qualite,"Compressor ratio, DSP quality tuning, Playground territory.",,
PreprocessingSettings.CompReleaseMs,Deckle.Audio,persisted-setting,150f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:55,oui,,,,,ms,aucune,2-qualite,"Compressor release time constant, DSP quality tuning.",,
PreprocessingSettings.CompThresholdDbfs,Deckle.Audio,persisted-setting,-24f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:51,oui,,,,,dBFS,aucune,2-qualite,"Compressor threshold in dBFS, DSP quality tuning.",,
PreprocessingSettings.CompressorEnabled,Deckle.Audio,persisted-setting,true,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:50,oui,,,,,,aucune,2-qualite,Per-stage DSP toggle behind the single Settings-facing Enabled switch; part of the frozen/Playground DSP block.,,
PreprocessingSettings.Enabled,Deckle.Audio,persisted-setting,false,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:27,oui,The only Preprocessing knob in Settings > Recording; the rest are Playground-only per CaptureSettings comment.,,,,,settings,3-personnalisation,The one Settings-facing preprocessing toggle; cleaning up the mic signal is explainable in one sentence.,,
PreprocessingSettings.GateAttackMs,Deckle.Audio,persisted-setting,5f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:43,oui,,,,,ms,aucune,2-qualite,"Noise-gate attack time constant, DSP quality tuning.",,
PreprocessingSettings.GateEnabled,Deckle.Audio,persisted-setting,false,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:40,oui,,,,,,aucune,2-qualite,"Per-stage gate toggle inside the frozen DSP block, Playground-only per doctrine.",,
PreprocessingSettings.GateRatio,Deckle.Audio,persisted-setting,2f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:42,oui,,,,,ratio,aucune,2-qualite,"Gate ratio, DSP quality tuning.",,
PreprocessingSettings.GateReleaseMs,Deckle.Audio,persisted-setting,150f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:44,oui,,,,,ms,aucune,2-qualite,"Gate release time constant, DSP quality tuning.",,
PreprocessingSettings.GateThresholdDbfs,Deckle.Audio,persisted-setting,-55f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:41,oui,,,,,dBFS,aucune,2-qualite,"Gate threshold in dBFS, DSP quality tuning.",,
PreprocessingSettings.HighPassEnabled,Deckle.Audio,persisted-setting,true,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:33,oui,,,,,,aucune,2-qualite,Per-stage high-pass toggle inside the frozen DSP block.,,
PreprocessingSettings.HighPassHz,Deckle.Audio,persisted-setting,90f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:34,oui,,,,,Hz,aucune,2-qualite,"High-pass cutoff frequency, DSP quality tuning.",,
PreprocessingSettings.LimiterCeilingDbfs,Deckle.Audio,persisted-setting,-1f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:71,oui,,,,,dBFS,aucune,2-qualite,"Limiter ceiling in dBFS, DSP quality tuning.",,
PreprocessingSettings.LimiterEnabled,Deckle.Audio,persisted-setting,true,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:70,oui,,,,,,aucune,2-qualite,Per-stage limiter toggle inside the frozen DSP block.,,
PreprocessingSettings.LimiterReleaseMs,Deckle.Audio,persisted-setting,50f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:72,oui,,,,,ms,aucune,2-qualite,"Limiter release time constant, DSP quality tuning.",,
PreprocessingSettings.MaxMakeupGainDb,Deckle.Audio,persisted-setting,24f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:65,oui,Makeup-gain pair; June flags the whole DSP block as frozen/Playground-only - confirm.,,,,dB,aucune,2-qualite,Makeup-gain cap; June flags the whole DSP block as frozen/Playground-only quality tuning.,,
PreprocessingSettings.TargetRmsDbfs,Deckle.Audio,persisted-setting,-20f,src/Deckle.Audio/Preprocessing/PreprocessingSettings.cs:64,oui,Makeup-gain pair; June flags the whole DSP block as frozen/Playground-only - confirm.,,,,dBFS,aucune,2-qualite,"Makeup-gain RMS target, quality calibration of the DSP chain.",,
TranscriptionPreprocessor.SampleRate,Deckle.Audio,tuning-constant,16000.0,src/Deckle.Audio/Preprocessing/TranscriptionPreprocessor.cs:42,non,Frozen module-wide capture format the DSP time constants depend on. Not a knob.,,,,Hz,aucune,1-robustesse,"Frozen module-wide capture format the DSP time constants depend on; structural, not a knob.",,
WaveInLoop.NormalVoiceDbfsThreshold,Deckle.Audio,tuning-constant,-45.0,src/Deckle.Audio/Internal/WaveInLoop.cs:102,non,"Method-local const. Drives the user-facing low-audio warning - user-perceivable, so kept.",,,,dBFS,aucune,2-qualite,dBFS threshold driving the low-audio warning heuristic; quality calibration even though its effect is visible.,,
WaveInLoop.NormalVoiceSustainedMs,Deckle.Audio,tuning-constant,200,src/Deckle.Audio/Internal/WaveInLoop.cs:103,non,Method-local const gating the same warning.,,,,ms,aucune,2-qualite,Sustain window gating the same low-audio warning heuristic; tuning of the detector.,,
WaveInLoop.SubWindowMs,Deckle.Audio,tuning-constant,50,src/Deckle.Audio/Internal/WaveInLoop.cs:382,non,Method-local const. Structural cadence: telemetry and MicrophoneTelemetryCalculator.SubWindowSamples=800 assume it. Not independently tunable.,,,,ms,aucune,1-robustesse,Structural internal cadence that telemetry and SubWindowSamples assume; not independently tunable.,,
WaveInLoop.WarnAfterSilenceMs,Deckle.Audio,tuning-constant,5000,src/Deckle.Audio/Internal/WaveInLoop.cs:104,non,Method-local const: delay before the low-audio warning fires.,,,,ms,aucune,2-qualite,"Delay before the low-audio warning fires; tuning of the same warning heuristic, kept coherent with its thresholds.",,
AutocorrectEngine.RollupPeriodMs,Deckle.Autocorrect,tuning-constant,`30_000`,src/Deckle.Autocorrect/Engine/AutocorrectEngine.cs:25,non,"Telemetry roll-up period. Diagnostic, not user-facing.",,,,ms,aucune,4-diagnostics,"Telemetry roll-up cadence, explicitly diagnostic and not user-facing.",,
AutocorrectSettings.Apps,Deckle.Autocorrect,persisted-setting,"`new(StringComparer.OrdinalIgnoreCase) { [""notepad""] = true }`",src/Deckle.Autocorrect/AutocorrectSettings.cs:17,oui,MISSED BY SWEEP (multi-line initializer). Non-composable per June: runtime-enumerated process list.,,,,,settings,3-personnalisation,"Per-app activation list is inherently per-user behavior, already a settings surface.",,
AutocorrectSettings.DomainPacks,Deckle.Autocorrect,persisted-setting,`new(StringComparer.Ordinal)`,src/Deckle.Autocorrect/AutocorrectSettings.cs:26,non,New since June. Empty map = undecided; DomainActivation falls back to the Windows language list. Bespoke UI (LexicalDomainsPage).,,,,,settings,3-personnalisation,Lexical domain choice varies per person; already has a bespoke settings page.,,
AutocorrectSettings.Enabled,Deckle.Autocorrect,persisted-setting,`true`,src/Deckle.Autocorrect/AutocorrectSettings.cs:12,oui,,,,,,"settings,tray",3-personnalisation,"Master on/off toggle, the canonical personal behavior setting.",,
AutocorrectSettings.EnrolledProcesses,Deckle.Autocorrect,legacy-deserialization,`null`,src/Deckle.Autocorrect/AutocorrectSettings.cs:37,non,"Legacy v1 allow-list, read once at OnDeserialized then nulled and never written back. Kind corrected from persisted-setting; never surfaced.",,,,,aucune,1-robustesse,"Legacy v1 migration shim read once and nulled; internal plumbing, frozen and never surfaced.",,
AutocorrectSettings.ExcludedWords,Deckle.Autocorrect,persisted-setting,`new()`,src/Deckle.Autocorrect/AutocorrectSettings.cs:31,non,New since June. Bespoke list editor (AutocorrectPage).,,,,,settings,3-personnalisation,"Personal exclusion list, per-user vocabulary with a bespoke list editor.",,
CaretParagraphContext.MaxParagraphLength,Deckle.Autocorrect,tuning-constant,`4096`,src/Deckle.Autocorrect/Recovery/CaretParagraphContext.cs:8,non,,,,,chars,aucune,1-robustesse,Internal buffer bound on recovered paragraph text.,,
CaretSentenceContext.MaxSentenceLength,Deckle.Autocorrect,tuning-constant,`512`,src/Deckle.Autocorrect/Recovery/CaretSentenceContext.cs:10,non,,,,,chars,aucune,1-robustesse,Internal buffer bound on recovered sentence text.,,
ConservativeTypoCorrector.ContextualFarMaxWordLength,Deckle.Autocorrect,tuning-constant,`5`,src/Deckle.Autocorrect/Engine/ConservativeTypoCorrector.cs:28,non,,,,,chars,aucune,2-qualite,Correction-tier calibration deciding which words qualify for far corrections.,,
ConservativeTypoCorrector.Edits2MaxWordLength,Deckle.Autocorrect,tuning-constant,`14`,src/Deckle.Autocorrect/Engine/ConservativeTypoCorrector.cs:209,non,Cost bound on the far tier; kept because it changes what gets corrected.,,,,chars,aucune,2-qualite,"Quality bound on the far tier; changes what gets corrected, a calibration.",,
ConservativeTypoCorrector.SentenceCandidateCap,Deckle.Autocorrect,tuning-constant,`4`,src/Deckle.Autocorrect/Engine/ConservativeTypoCorrector.cs:27,non,Perf/ambiguity bound; borderline exposable.,,,,count,aucune,2-qualite,"Perf/ambiguity cap shaping correction outcomes; tuning, not a user knob.",,
DisambiguatorOptions.LiteralBias,Deckle.Autocorrect,tuning-constant,`2.0`,src/Deckle.Autocorrect/Engine/BigramPairDisambiguator.cs:266,non,Not persisted.,,,,ratio,aucune,2-qualite,"Model-inference weight, pure quality calibration.",,
DisambiguatorOptions.MarginRatio,Deckle.Autocorrect,tuning-constant,`10.0`,src/Deckle.Autocorrect/Engine/BigramPairDisambiguator.cs:262,non,Kind corrected: NOT persisted. Only Deckle.Autocorrect.Lab/DataSet.cs:37 overrides it. Measured optimum of the 2026-06-13 eval matrix.,,,,ratio,aucune,2-qualite,Measured optimum from the eval matrix; classic frozen calibration.,,
DisambiguatorOptions.MaxContextOrder,Deckle.Autocorrect,tuning-constant,`3`,src/Deckle.Autocorrect/Engine/BigramPairDisambiguator.cs:274,non,Not persisted.,,,,count,aucune,2-qualite,"N-gram context depth, inference quality tuning.",,
DisambiguatorOptions.MinEvidence,Deckle.Autocorrect,tuning-constant,`5`,src/Deckle.Autocorrect/Engine/BigramPairDisambiguator.cs:269,non,Not persisted.,,,,count,aucune,2-qualite,"Evidence threshold for the disambiguator, quality calibration.",,
GlobalEnglishLexicon.OverlayFrequency,Deckle.Autocorrect,tuning-constant,`1.0`,src/Deckle.Autocorrect/Lexicon/GlobalEnglishLexicon.cs:11,non,"Weight of the restricted English literal overlay, i.e. the 'lexique anglais restreint' of the arbitrated correcteur contract.",,,,per-million,aucune,2-qualite,Weight of the arbitrated English overlay; calibration tied to a frozen decision.,,
PersonalDictionary.MaxWords,Deckle.Autocorrect,tuning-constant,`5000`,src/Deckle.Autocorrect/Learning/PersonalDictionary.cs:16,non,Personal dictionary capacity.,,,,count,aucune,1-robustesse,"Capacity cap on the personal dictionary store, an internal bound.",,
PersonalDictionary.RequiredCleanOccurrences,Deckle.Autocorrect,tuning-constant,`3`,src/Deckle.Autocorrect/Learning/PersonalDictionary.cs:14,non,How fast a typed literal is adopted into the personal lexicon; strongly user-perceivable.,,,,count,aucune,2-qualite,"Adoption-speed gate is precision/recall calibration of learning, not a personal preference axis.",,
PersonalDictionary.RequiredDistinctDays,Deckle.Autocorrect,tuning-constant,`2`,src/Deckle.Autocorrect/Learning/PersonalDictionary.cs:15,non,Same adoption gate.,,,,days,aucune,2-qualite,Same adoption gate; moves with RequiredCleanOccurrences as one calibration.,,
PersonalWordAdmission.FrenchCollisionFloorPerMillion,Deckle.Autocorrect,tuning-constant,`1.0`,src/Deckle.Autocorrect/Learning/PersonalWordAdmission.cs:15,non,Mirrors RestorerOptions.MinDominantFrequencyPerMillion by intent; coupled constants that would have to move together.,,,,per-million,aucune,2-qualite,Coupled to RestorerOptions.MinDominantFrequencyPerMillion; frozen quality calibration.,,
QwertyAdjacency.Rows,Deckle.Autocorrect,tuning-constant,"`[""qwertyuiop"", ""asdfghjkl"", ""zxcvbnm""]`",src/Deckle.Autocorrect/Engine/QwertyAdjacency.cs:10,non,DOUBT: a hardcoded QWERTY layout drives the physical-slip model. An AZERTY typist gets a mismatched adjacency map. Either a real exposable (keyboard layout) or a defect.,,,,,aucune,3-personnalisation,"Keyboard layout genuinely varies per user (AZERTY vs QWERTY); today a hardcoded defect, but the exposable is layout selection.",,
RestorerOptions.CorrectValidFormsWithContext,Deckle.Autocorrect,tuning-constant,`false`,src/Deckle.Autocorrect/Engine/RestorerOptions.cs:46,non,"Eval-only flag by doctrine; Lab/Playground territory, not Settings.",,,,,aucune,5-playground,"Eval-only flag by doctrine, explicitly Lab/Playground territory.",,
RestorerOptions.DominanceRatio,Deckle.Autocorrect,tuning-constant,`20.0`,src/Deckle.Autocorrect/Engine/RestorerOptions.cs:19,non,Not persisted.,,,,ratio,aucune,2-qualite,"Restorer frequency-dominance calibration, not persisted.",,
RestorerOptions.GuardCapitalizedMidSentence,Deckle.Autocorrect,tuning-constant,`false`,src/Deckle.Autocorrect/Engine/RestorerOptions.cs:54,non,"Proper-noun guard, off by default. Plausibly a real user-perceivable knob.",,,,,aucune,2-qualite,"Proper-noun guard is a precision/coverage calibration, not a per-person axis.",,
RestorerOptions.MinCandidateFrequencyPerMillion,Deckle.Autocorrect,tuning-constant,`0.0`,src/Deckle.Autocorrect/Engine/RestorerOptions.cs:27,non,Not persisted.,,,,per-million,aucune,2-qualite,"Rarity gate on candidates, quality calibration.",,
RestorerOptions.MinCandidateFrequencyRatio,Deckle.Autocorrect,tuning-constant,`0.01`,src/Deckle.Autocorrect/Engine/RestorerOptions.cs:41,non,"Not persisted. Sentence-stage rarity gate, empirically grounded (100x floor over the maintainer's corpus).",,,,ratio,aucune,2-qualite,"Empirically grounded rarity gate over the maintainer corpus, frozen calibration.",,
RestorerOptions.MinDominantFrequencyPerMillion,Deckle.Autocorrect,tuning-constant,`1.0`,src/Deckle.Autocorrect/Engine/RestorerOptions.cs:23,non,Not persisted.,,,,per-million,aucune,2-qualite,"Dominance floor, quality calibration coupled to the admission floor.",,
RestorerOptions.MinWordLength,Deckle.Autocorrect,tuning-constant,`2`,src/Deckle.Autocorrect/Engine/RestorerOptions.cs:15,non,Kind corrected: NOT persisted. RestorerOptions is constructed with defaults in the live engine (DiacriticsRestorer.cs:48); only the offline eval overrides it.,,,,chars,aucune,2-qualite,Eligibility calibration; only the offline eval ever overrides it.,,
SentenceProposalGate.AbsoluteEditCap,Deckle.Autocorrect,tuning-constant,`24`,src/Deckle.Autocorrect/Engine/SentenceProposalGate.cs:13,non,Safety budget.,,,,count,aucune,1-robustesse,"Safety budget bounding proposal edits, internal robustness.",,
SentenceProposalGate.MaxBackspaces,Deckle.Autocorrect,tuning-constant,`160`,src/Deckle.Autocorrect/Engine/SentenceProposalGate.cs:11,non,Safety budget.,,,,count,aucune,1-robustesse,"Safety budget on emitted backspaces, internal robustness.",,
SentenceProposalGate.MaxInsertedChars,Deckle.Autocorrect,tuning-constant,`192`,src/Deckle.Autocorrect/Engine/SentenceProposalGate.cs:12,non,Safety budget.,,,,chars,aucune,1-robustesse,"Safety budget on inserted characters, internal robustness.",,
SentenceProposalGate.MaxTextLength,Deckle.Autocorrect,tuning-constant,`512`,src/Deckle.Autocorrect/Engine/SentenceProposalGate.cs:10,non,Safety budget for whole-sentence proposals; arguably frozen-by-doctrine rather than a knob.,,,,chars,aucune,1-robustesse,Safety budget on proposal scope; frozen-by-doctrine bound.,,
